benchmark_name,workload_name,round_1_time,round_1_param,round_2_time,round_2_param,round_3_time,round_3_param,round_4_time,round_4_param,round_5_time,round_5_param,round_6_time,round_6_param,round_7_time,round_7_param,round_8_time,round_8_param,round_9_time,round_9_param,round_10_time,round_10_param,round_11_time,round_11_param,round_12_time,round_12_param,round_13_time,round_13_param,round_14_time,round_14_param,round_15_time,round_15_param,round_16_time,round_16_param
numpy_benchmark,matmul,1204.1518,workload: --size 2275 --threads 46;,3561.6304,workload: --size 3640 --threads 31;,3472.2376,workload: --size 3868 --threads 2;,2590.4943,workload: --size 3413 --threads 17;,4495.9836,workload: --size 4096 --threads 17;,1643.6757,workload: --size 2958 --threads 12;,3540.0096,workload: --size 3413 --threads 37;,4323.3018,workload: --size 3640 --threads 41;,6090.0954,workload: --size 4096 --threads 35;,1866.415,workload: --size 2730 --threads 39;,723.4469,workload: --size 2048 --threads 28;,2553.8997,workload: --size 3413 --threads 11;,1046.6808,workload: --size 2503 --threads 19;,1052.6598,workload: --size 2048 --threads 56;,1111.786,workload: --size 2503 --threads 20;,3278.3644,workload: --size 3640 --threads 18;
numpy_benchmark,svd,334.0976,workload: --size 1024 --threads 27;,398.486,workload: --size 1024 --threads 36;,2261.3156,workload: --size 1820 --threads 39;,733.5018,workload: --size 1365 --threads 25;,1364.8665,workload: --size 1934 --threads 4;,3240.7259,workload: --size 2048 --threads 38;,2999.3187,workload: --size 1820 --threads 57;,615.3069,workload: --size 1024 --threads 61;,698.1993,workload: --size 1365 --threads 22;,3001.8339,workload: --size 1820 --threads 59;,777.6803,workload: --size 1479 --threads 15;,891.4376,workload: --size 1479 --threads 23;,492.3998,workload: --size 1251 --threads 18;,1411.2591,workload: --size 1592 --threads 36;,535.7671,workload: --size 1251 --threads 22;,2833.6652,workload: --size 1934 --threads 42;
numpy_benchmark,fft,14791.2991,workload: --size 6058439 --threads 35;,21210.2404,workload: --size 6058439 --threads 63;,7999.994,workload: --size 5126371 --threads 14;,19117.4274,workload: --size 6058439 --threads 54;,21092.3132,workload: --size 6990506 --threads 51;,10252.0436,workload: --size 4660337 --threads 29;,8108.6997,workload: --size 4660337 --threads 16;,15790.7681,workload: --size 5592405 --threads 49;,16705.9459,workload: --size 7456540 --threads 33;,9731.7915,workload: --size 7456540 --threads 4;,3580.4775,workload: --size 8388608 --threads 45;,10248.7519,workload: --size 6524472 --threads 6;,7299.8641,workload: --size 5126371 --threads 5;,11650.1872,workload: --size 7922574 --threads 8;,17783.6227,workload: --size 6524472 --threads 44;,19593.3128,workload: --size 7456540 --threads 41;
tuf_benchmark,tuf-metadata,1944.6221,data: --size 357913941; workload: --threads 10;,2654.7809,data: --size 507044750; workload: --threads 28;,1867.0945,data: --size 357913941; workload: --threads 18;,1754.6743,data: --size 328087779; workload: --threads 49;,1575.5395,data: --size 507044750; workload: --threads 4;,2656.6326,data: --size 536870912; workload: --threads 52;,2851.2781,data: --size 536870912; workload: --threads 60;,2054.8458,data: --size 387740103; workload: --threads 50;,2908.2787,data: --size 536870912; workload: --threads 62;,1960.2917,data: --size 357913941; workload: --threads 8;,2048.6915,data: --size 387740103; workload: --threads 56;,1895.0095,data: --size 357913941; workload: --threads 32;,2869.8419,data: --size 536870912; workload: --threads 37;,2237.6791,data: --size 417566264; workload: --threads 10;,2760.2287,data: --size 507044750; workload: --threads 6;,2498.5877,data: --size 477218588; workload: --threads 21;
requests_benchmark,requests-json,828.9783,workload: --size 174762 --threads 22;,726.1564,workload: --size 160199 --threads 17;,947.6434,workload: --size 189326 --threads 34;,656.2859,workload: --size 145635 --threads 23;,1088.2127,workload: --size 233016 --threads 11;,596.8375,workload: --size 131072 --threads 32;,607.4358,workload: --size 131072 --threads 39;,1243.3235,workload: --size 247580 --threads 20;,787.7131,workload: --size 160199 --threads 38;,1341.4679,workload: --size 203889 --threads 62;,974.9686,workload: --size 203889 --threads 15;,1300.3785,workload: --size 203889 --threads 57;,957.1139,workload: --size 160199 --threads 61;,893.731,workload: --size 160199 --threads 52;,682.7648,workload: --size 174762 --threads 4;,1091.1409,workload: --size 189326 --threads 51;
raytrace,raytrace,743.3311,workload: --width 2503 --threads 32;,1150.7673,workload: --width 3868 --threads 61;,812.5457,workload: --width 2730 --threads 15;,1010.8281,workload: --width 3413 --threads 39;,741.2705,workload: --width 2503 --threads 55;,947.475,workload: --width 3185 --threads 40;,743.3146,workload: --width 2503 --threads 52;,744.6605,workload: --width 2503 --threads 64;,810.8195,workload: --width 2730 --threads 44;,674.7914,workload: --width 2275 --threads 52;,676.6277,workload: --width 2275 --threads 37;,743.6288,workload: --width 2503 --threads 57;,1087.0008,workload: --width 3640 --threads 18;,1077.9947,workload: --width 3640 --threads 47;,673.526,workload: --width 2275 --threads 11;,1077.9637,workload: --width 3640 --threads 39;
chaos_fractal,chaos-fractal,2126.4264,data: --width 2275; workload: --threads 21;,2128.1416,data: --width 2275; workload: --threads 32;,2124.8811,data: --width 2048; workload: --threads 14;,2133.7258,data: --width 2048; workload: --threads 52;,2120.6928,data: --width 3640; workload: --threads 18;,2114.3855,data: --width 3868; workload: --threads 48;,2116.3376,data: --width 2503; workload: --threads 35;,2118.1385,data: --width 2958; workload: --threads 5;,2120.9529,data: --width 3640; workload: --threads 15;,2131.3487,data: --width 3185; workload: --threads 55;,2115.8779,data: --width 4096; workload: --threads 63;,2115.504,data: --width 2275; workload: --threads 21;,2115.4764,data: --width 2048; workload: --threads 61;,2112.8727,data: --width 3640; workload: --threads 21;,2122.7695,data: --width 2730; workload: --threads 6;,2137.1505,data: --width 2048; workload: --threads 44;
deltablue,deltablue,3863.2982,workload: --n 188888 --threads 60;,2006.6664,workload: --n 144444 --threads 61;,2969.8266,workload: --n 200000 --threads 20;,2187.7768,workload: --n 177777 --threads 1;,3277.7747,workload: --n 177777 --threads 60;,2832.7262,workload: --n 166666 --threads 61;,4229.6245,workload: --n 200000 --threads 64;,2193.9718,workload: --n 177777 --threads 17;,1940.3599,workload: --n 144444 --threads 60;,2513.3467,workload: --n 188888 --threads 14;,2951.4795,workload: --n 188888 --threads 40;,3225.8261,workload: --n 188888 --threads 47;,2722.4978,workload: --n 166666 --threads 58;,1102.1636,workload: --n 122222 --threads 4;,1264.2366,workload: --n 122222 --threads 34;,1159.959,workload: --n 111111 --threads 63;
pyflate,pyflate,798.7612,data: --size 5555555; workload: --threads 49;,1360.8121,data: --size 9444444; workload: --threads 53;,1347.8086,data: --size 9444444; workload: --threads 35;,952.3622,data: --size 6666666; workload: --threads 39;,1025.8494,data: --size 7222222; workload: --threads 24;,1115.5787,data: --size 7777777; workload: --threads 45;,1037.6604,data: --size 7222222; workload: --threads 57;,1272.0859,data: --size 8888888; workload: --threads 43;,1244.5258,data: --size 8888888; workload: --threads 10;,1123.2867,data: --size 7777777; workload: --threads 63;,936.0255,data: --size 6666666; workload: --threads 6;,795.9088,data: --size 5555555; workload: --threads 48;,1078.8581,data: --size 7777777; workload: --threads 1;,865.827,data: --size 6111111; workload: --threads 19;,947.2282,data: --size 6666666; workload: --threads 27;,1184.2058,data: --size 8333333; workload: --threads 39;
go_board_game,go-board-game,1617.6617,workload: --size 200 --threads 35;,1561.6881,workload: --size 200 --threads 25;,254.4234,workload: --size 100 --threads 37;,549.5746,workload: --size 133 --threads 37;,358.3701,workload: --size 133 --threads 7;,308.8082,workload: --size 111 --threads 55;,235.0247,workload: --size 111 --threads 11;,260.7497,workload: --size 111 --threads 13;,598.8011,workload: --size 144 --threads 19;,249.0301,workload: --size 100 --threads 57;,440.884,workload: --size 122 --threads 29;,1425.8712,workload: --size 188 --threads 37;,378.0587,workload: --size 133 --threads 11;,317.0918,workload: --size 111 --threads 57;,1081.4841,workload: --size 177 --threads 54;,1335.2602,workload: --size 188 --threads 61;
