suite,benchmark,seconds_run_1,seconds_run_2,seconds_run_3,final_seconds
specratefp,503.bwaves_r,3117,3108,,3117
specratefp,507.cactuBSSN_r,770,772,,772
specratefp,508.namd_r,416,416,,416
specratefp,510.parest_r,3453,3446,,3453
specratefp,511.povray_r,731,730,,731
specratefp,519.lbm_r,3148,3143,,3148
specratefp,521.wrf_r,1749,1746,,1749
specratefp,526.blender_r,600,721,,721
specratefp,527.cam4_r,971,965,,971
specratefp,538.imagick_r,787,902,,902
specratefp,544.nab_r,762,816,,816
specratefp,549.fotonik3d_r,4170,4177,,4177
specratefp,554.roms_r,2306,2307,,2307
specrateint,500.perlbench_r,672,672,,672
specrateint,502.gcc_r,1068,1068,,1068
specrateint,505.mcf_r,1834,1831,,1834
specrateint,520.omnetpp_r,1619,1621,,1621
specrateint,523.xalancbmk_r,876,861,,876
specrateint,525.x264_r,311,311,,311
specrateint,531.deepsjeng_r,385,384,,385
specrateint,541.leela_r,582,582,,582
specrateint,548.exchange2_r,522,527,,527
specrateint,557.xz_r,775,775,,775
specspeedfp,603.bwaves_s,430,437,,437
specspeedfp,607.cactuBSSN_s,217,229,,229
specspeedfp,619.lbm_s,386,358,,386
specspeedfp,621.wrf_s,262,260,,262
specspeedfp,627.cam4_s,4025,4125,,4125
specspeedfp,628.pop2_s,482,484,,484
specspeedfp,638.imagick_s,261,261,,261
specspeedfp,644.nab_s,179,179,,179
specspeedfp,649.fotonik3d_s,432,430,,432
specspeedfp,654.roms_s,352,347,,352
specspeedint,600.perlbench_s,578,577,,578
specspeedint,602.gcc_s,1697,1693,,1697
specspeedint,605.mcf_s,1697,1566,,1697
specspeedint,620.omnetpp_s,773,774,,774
specspeedint,623.xalancbmk_s,540,548,,548
specspeedint,625.x264_s,294,293,,294
specspeedint,631.deepsjeng_s,435,435,,435
specspeedint,641.leela_s,575,574,,575
specspeedint,648.exchange2_s,510,510,,510
specspeedint,657.xz_s,476,477,,477
