benchmark_name,workload_name,round_1_time,round_1_param,round_2_time,round_2_param,round_3_time,round_3_param,round_4_time,round_4_param,round_5_time,round_5_param,round_6_time,round_6_param,round_7_time,round_7_param,round_8_time,round_8_param,round_9_time,round_9_param,round_10_time,round_10_param,round_11_time,round_11_param,round_12_time,round_12_param,round_13_time,round_13_param,round_14_time,round_14_param,round_15_time,round_15_param,round_16_time,round_16_param
bert_cpu,bert_eval,136.459,data: --seq_len 512; workload: --threads 8; ,98.8745,data: --seq_len 796; workload: --threads 56; ,67.5993,data: --seq_len 512; workload: --threads 27; ,112.6466,data: --seq_len 739; workload: --threads 42; ,124.6738,data: --seq_len 910; workload: --threads 42; ,59.1664,data: --seq_len 512; workload: --threads 59; ,149.6833,data: --seq_len 967; workload: --threads 42; ,81.8696,data: --seq_len 682; workload: --threads 59; ,128.3221,data: --seq_len 739; workload: --threads 47; ,68.3261,data: --seq_len 682; workload: --threads 42; ,903.6237,data: --seq_len 568; workload: --threads 1; ,110.9442,data: --seq_len 796; workload: --threads 44; ,136.5606,data: --seq_len 739; workload: --threads 28; ,269.6097,data: --seq_len 739; workload: --threads 9; ,174.724,data: --seq_len 967; workload: --threads 38; ,67.4568,data: --seq_len 682; workload: --threads 43; 
biogo-benchmark,biogo-igor,748.2967,workload: --seq 55555 --threads 64; ,754.2319,workload: --seq 88888 --threads 13; ,1107.4349,workload: --seq 83333 --threads 56; ,987.4311,workload: --seq 100000 --threads 25; ,805.3935,workload: --seq 88888 --threads 17; ,806.4178,workload: --seq 88888 --threads 17; ,718.9224,workload: --seq 61111 --threads 43; ,533.2646,workload: --seq 61111 --threads 13; ,367.0836,workload: --seq 50000 --threads 6; ,950.0613,workload: --seq 72222 --threads 55; ,517.5689,workload: --seq 61111 --threads 10; ,1150.6054,workload: --seq 88888 --threads 55; ,1138.7905,workload: --seq 88888 --threads 54; ,798.4785,workload: --seq 88888 --threads 16; ,681.625,workload: --seq 77777 --threads 14; ,948.1001,workload: --seq 94444 --threads 27; 
bleve_benchmark,bleve-index,445.8013,workload: --documents 2222 --threads 12; ,605.7645,workload: --documents 3777 --threads 7; ,1012.065,workload: --documents 4000 --threads 17; ,1351.794,workload: --documents 3333 --threads 50; ,1530.0502,workload: --documents 3333 --threads 61; ,880.7261,workload: --documents 2666 --threads 36; ,1089.7519,workload: --documents 2666 --threads 53; ,1470.8557,workload: --documents 3333 --threads 57; ,464.2604,workload: --documents 3333 --threads 5; ,850.1425,workload: --documents 2444 --threads 41; ,851.3401,workload: --documents 2444 --threads 41; ,848.3984,workload: --documents 2222 --threads 47; ,904.773,workload: --documents 3111 --threads 24; ,1106.5173,workload: --documents 3333 --threads 34; ,870.2857,workload: --documents 2444 --threads 41; ,1088.0784,workload: --documents 2666 --threads 53; 
c_compiler_benchmark,clang_compile,335.1741,data: --func_size 188; workload: --opt O2 --threads 52; ,183.7174,data: --func_size 100; workload: --opt O1 --threads 60; ,286.6729,data: --func_size 188; workload: --opt O3 --threads 7; ,218.112,data: --func_size 133; workload: --opt O3 --threads 28; ,189.8217,data: --func_size 111; workload: --opt O3 --threads 44; ,277.9405,data: --func_size 166; workload: --opt O2 --threads 30; ,339.3868,data: --func_size 200; workload: --opt O3 --threads 30; ,159.141,data: --func_size 100; workload: --opt O1 --threads 20; ,299.3219,data: --func_size 177; workload: --opt O1 --threads 34; ,225.1957,data: --func_size 133; workload: --opt O3 --threads 36; ,176.1542,data: --func_size 111; workload: --opt O2 --threads 18; ,190.2763,data: --func_size 111; workload: --opt O2 --threads 43; ,224.8882,data: --func_size 133; workload: --opt O3 --threads 37; ,173.8402,data: --func_size 100; workload: --opt O3 --threads 50; ,336.873,data: --func_size 188; workload: --opt O3 --threads 52; ,149.1216,data: --func_size 100; workload: --opt O2 --threads 4; 
c_compiler_benchmark,gcc_compile,367.5408,data: --func_size 133; workload: --opt O3 --threads 41; ,375.4257,data: --func_size 188; workload: --opt O1 --threads 53; ,511.3152,data: --func_size 188; workload: --opt O2 --threads 33; ,290.851,data: --func_size 100; workload: --opt O2 --threads 57; ,488.3531,data: --func_size 177; workload: --opt O2 --threads 42; ,298.4793,data: --func_size 111; workload: --opt O3 --threads 33; ,490.7842,data: --func_size 200; workload: --opt O2 --threads 12; ,550.8326,data: --func_size 188; workload: --opt O2 --threads 53; ,174.2284,data: --func_size 111; workload: --opt O1 --threads 2; ,190.0023,data: --func_size 111; workload: --opt O1 --threads 17; ,412.8444,data: --func_size 155; workload: --opt O3 --threads 28; ,214.8898,data: --func_size 133; workload: --opt O1 --threads 9; ,319.8977,data: --func_size 188; workload: --opt O1 --threads 15; ,253.9076,data: --func_size 133; workload: --opt O1 --threads 47; ,480.1067,data: --func_size 177; workload: --opt O3 --threads 32; ,274.5174,data: --func_size 100; workload: --opt O3 --threads 40; 
cassandra_benchmark,cassandra_stress_read,592.7849,workload: --read-n 1666666 --threads 2; ,119.4498,workload: --read-n 1555555 --threads 22; ,110.8631,workload: --read-n 1444444 --threads 20; ,150.0219,workload: --read-n 1000000 --threads 7; ,330.527,workload: --read-n 1555555 --threads 4; ,93.7461,workload: --read-n 1333333 --threads 57; ,81.9236,workload: --read-n 1000000 --threads 52; ,93.6796,workload: --read-n 1000000 --threads 19; ,101.2897,workload: --read-n 1333333 --threads 20; ,134.456,workload: --read-n 2000000 --threads 48; ,124.066,workload: --read-n 1777777 --threads 47; ,134.5533,workload: --read-n 1777777 --threads 20; ,357.9047,workload: --read-n 1222222 --threads 3; ,128.6061,workload: --read-n 1666666 --threads 23; ,98.2094,workload: --read-n 1444444 --threads 50; ,134.4671,workload: --read-n 2000000 --threads 44; 
chaos_fractal,chaos-fractal,921.5211,data: --width 2275; workload: --threads 21; ,913.2115,data: --width 2275; workload: --threads 32; ,904.8858,data: --width 2048; workload: --threads 14; ,936.2555,data: --width 2048; workload: --threads 52; ,1071.9867,data: --width 3640; workload: --threads 18; ,954.8598,data: --width 3868; workload: --threads 48; ,1012.8354,data: --width 2503; workload: --threads 35; ,838.2509,data: --width 2958; workload: --threads 5; ,869.3291,data: --width 3640; workload: --threads 15; ,1121.292,data: --width 3185; workload: --threads 55; ,989.8978,data: --width 4096; workload: --threads 63; ,906.2617,data: --width 2275; workload: --threads 21; ,1026.1947,data: --width 2048; workload: --threads 61; ,930.4311,data: --width 3640; workload: --threads 21; ,873.8006,data: --width 2730; workload: --threads 6; ,966.0157,data: --width 2048; workload: --threads 44; 
cockroachdb_benchmark,kv,563.7812,workload: --max-ops 1000000 --threads 7; ,344.6183,workload: --max-ops 733333 --threads 2; ,688.8616,workload: --max-ops 1200000 --threads 6; ,935.8357,workload: --max-ops 933333 --threads 64; ,379.3262,workload: --max-ops 600000 --threads 15; ,622.4495,workload: --max-ops 1066666 --threads 6; ,751.8511,workload: --max-ops 733333 --threads 64; ,514.565,workload: --max-ops 800000 --threads 22; ,731.3438,workload: --max-ops 866666 --threads 39; ,520.6471,workload: --max-ops 733333 --threads 33; ,1122.8966,workload: --max-ops 1200000 --threads 55; ,504.1257,workload: --max-ops 1066666 --threads 3; ,678.0501,workload: --max-ops 1133333 --threads 11; ,642.0879,workload: --max-ops 933333 --threads 34; ,779.6782,workload: --max-ops 1133333 --threads 31; ,885.7013,workload: --max-ops 933333 --threads 61; 
cockroachdb_benchmark,tpcc,292.2277,workload: --max-ops 16666 --threads 15; ,400.7327,workload: --max-ops 21666 --threads 12; ,704.7439,workload: --max-ops 28333 --threads 40; ,600.5525,workload: --max-ops 23333 --threads 52; ,406.0012,workload: --max-ops 20000 --threads 28; ,521.2013,workload: --max-ops 30000 --threads 7; ,653.305,workload: --max-ops 28333 --threads 37; ,734.7295,workload: --max-ops 30000 --threads 39; ,542.3301,workload: --max-ops 15000 --threads 64; ,797.4821,workload: --max-ops 28333 --threads 48; ,719.9483,workload: --max-ops 25000 --threads 52; ,698.2613,workload: --max-ops 26666 --threads 47; ,411.32,workload: --max-ops 16666 --threads 47; ,472.4536,workload: --max-ops 18333 --threads 58; ,803.2441,workload: --max-ops 30000 --threads 60; ,475.4338,workload: --max-ops 28333 --threads 8; 
deltablue,deltablue,800.1455,workload: --n 188888 --threads 60; ,577.2444,workload: --n 144444 --threads 61; ,650.2419,workload: --n 200000 --threads 20; ,497.049,workload: --n 177777 --threads 1; ,737.0664,workload: --n 177777 --threads 60; ,689.5409,workload: --n 166666 --threads 61; ,897.4587,workload: --n 200000 --threads 64; ,545.9166,workload: --n 177777 --threads 17; ,557.4497,workload: --n 144444 --threads 60; ,572.2261,workload: --n 188888 --threads 14; ,679.934,workload: --n 188888 --threads 40; ,707.4897,workload: --n 188888 --threads 47; ,659.8488,workload: --n 166666 --threads 58; ,295.2142,workload: --n 122222 --threads 4; ,346.3979,workload: --n 122222 --threads 34; ,439.3949,workload: --n 111111 --threads 63; 
esbuild_benchmark,RomeTS,584.456,data: --complexity 1555; workload: --threads 21; ,698.4533,data: --complexity 2000; workload: --threads 22; ,556.0807,data: --complexity 1444; workload: --threads 6; ,706.8107,data: --complexity 2000; workload: --threads 19; ,608.0597,data: --complexity 1666; workload: --threads 33; ,603.6263,data: --complexity 1666; workload: --threads 17; ,492.306,data: --complexity 1222; workload: --threads 5; ,489.4093,data: --complexity 1222; workload: --threads 6; ,422.3533,data: --complexity 1000; workload: --threads 13; ,476.2344,data: --complexity 1222; workload: --threads 61; ,482.2609,data: --complexity 1222; workload: --threads 38; ,552.1833,data: --complexity 1444; workload: --threads 24; ,488.1566,data: --complexity 1111; workload: --threads 3; ,634.23,data: --complexity 1777; workload: --threads 37; ,485.9982,data: --complexity 1222; workload: --threads 35; ,456.0225,data: --complexity 1111; workload: --threads 27; 
esbuild_benchmark,ThreeJS,181.9327,data: --complexity 1555; workload: --threads 20; ,201.5584,data: --complexity 1888; workload: --threads 31; ,163.3714,data: --complexity 1555; workload: --threads 47; ,179.4086,data: --complexity 1666; workload: --threads 32; ,167.9142,data: --complexity 1666; workload: --threads 60; ,206.0235,data: --complexity 2000; workload: --threads 38; ,130.989,data: --complexity 1111; workload: --threads 52; ,336.0176,data: --complexity 1888; workload: --threads 4; ,228.1888,data: --complexity 2000; workload: --threads 15; ,167.937,data: --complexity 1444; workload: --threads 20; ,128.5129,data: --complexity 1111; workload: --threads 54; ,158.401,data: --complexity 1444; workload: --threads 40; ,243.7002,data: --complexity 1888; workload: --threads 9; ,195.2106,data: --complexity 1777; workload: --threads 28; ,150.2043,data: --complexity 1222; workload: --threads 16; ,170.1096,data: --complexity 1444; workload: --threads 18; 
ffmpeg_benchmark,ffmpeg,369.7727,data: --duration 480; workload: --threads 35; ,320.9576,data: --duration 480; workload: --threads 7; ,205.7528,data: --duration 293; workload: --threads 12; ,306.7361,data: --duration 400; workload: --threads 61; ,266.2328,data: --duration 346; workload: --threads 49; ,265.1618,data: --duration 373; workload: --threads 16; ,210.379,data: --duration 320; workload: --threads 3; ,316.334,data: --duration 453; workload: --threads 10; ,264.3885,data: --duration 373; workload: --threads 16; ,368.3503,data: --duration 480; workload: --threads 42; ,265.6396,data: --duration 346; workload: --threads 33; ,206.4629,data: --duration 293; workload: --threads 13; ,265.7848,data: --duration 346; workload: --threads 31; ,246.2474,data: --duration 373; workload: --threads 5; ,224.4366,data: --duration 293; workload: --threads 39; ,265.8137,data: --duration 346; workload: --threads 61; 
gc_garbage,gc_garbage,1890.1251,data: --size 100000; workload: --threads 55; ,1519.9,data: --size 83333; workload: --threads 53; ,1099.2481,data: --size 66666; workload: --threads 46; ,377.6427,data: --size 94444; workload: --threads 1; ,1838.0197,data: --size 100000; workload: --threads 48; ,1613.0252,data: --size 77777; workload: --threads 63; ,937.3306,data: --size 50000; workload: --threads 59; ,880.2433,data: --size 55555; workload: --threads 42; ,1378.5407,data: --size 100000; workload: --threads 31; ,392.3722,data: --size 55555; workload: --threads 9; ,443.9751,data: --size 50000; workload: --threads 15; ,1330.2962,data: --size 100000; workload: --threads 28; ,1225.5239,data: --size 72222; workload: --threads 50; ,1561.392,data: --size 77777; workload: --threads 63; ,1601.3349,data: --size 83333; workload: --threads 58; ,1326.3523,data: --size 83333; workload: --threads 42; 
go_board_game,go-board-game,701.3709,workload: --size 200 --threads 35; ,654.6532,workload: --size 200 --threads 25; ,135.6667,workload: --size 100 --threads 37; ,253.6414,workload: --size 133 --threads 37; ,194.924,workload: --size 133 --threads 7; ,217.7943,workload: --size 111 --threads 55; ,130.6168,workload: --size 111 --threads 11; ,132.6905,workload: --size 111 --threads 13; ,268.6407,workload: --size 144 --threads 19; ,178.5866,workload: --size 100 --threads 57; ,188.7652,workload: --size 122 --threads 29; ,608.6221,workload: --size 188 --threads 37; ,197.0539,workload: --size 133 --threads 11; ,226.9844,workload: --size 111 --threads 57; ,605.1077,workload: --size 177 --threads 54; ,722.9161,workload: --size 188 --threads 61; 
go_compiler,go_compiler,199.6776,data: --complex 144; workload: --threads 9; ,91.2489,data: --complex 133; workload: --threads 63; ,132.3468,data: --complex 155; workload: --threads 27; ,95.8767,data: --complex 111; workload: --threads 14; ,67.2891,data: --complex 100; workload: --threads 22; ,79.4626,data: --complex 100; workload: --threads 14; ,220.9174,data: --complex 166; workload: --threads 12; ,213.8714,data: --complex 144; workload: --threads 8; ,197.7085,data: --complex 177; workload: --threads 18; ,85.5405,data: --complex 100; workload: --threads 12; ,67.8869,data: --complex 111; workload: --threads 52; ,61.3951,data: --complex 100; workload: --threads 44; ,67.7927,data: --complex 111; workload: --threads 61; ,191.7331,data: --complex 188; workload: --threads 26; ,202.765,data: --complex 188; workload: --threads 32; ,172.719,data: --complex 188; workload: --threads 62; 
go_json,json,705.7895,data: --size 44444; workload: --threads 49; ,495.3114,data: --size 33333; workload: --threads 28; ,488.0526,data: --size 36111; workload: --threads 14; ,730.1793,data: --size 50000; workload: --threads 29; ,585.6103,data: --size 41666; workload: --threads 21; ,588.2447,data: --size 38888; workload: --threads 37; ,731.7832,data: --size 50000; workload: --threads 33; ,610.8705,data: --size 38888; workload: --threads 46; ,558.768,data: --size 33333; workload: --threads 59; ,329.8375,data: --size 25000; workload: --threads 12; ,520.4193,data: --size 33333; workload: --threads 42; ,679.1263,data: --size 47222; workload: --threads 25; ,579.4436,data: --size 36111; workload: --threads 50; ,386.3435,data: --size 27777; workload: --threads 18; ,373.5699,data: --size 27777; workload: --threads 13; ,719.7834,data: --size 47222; workload: --threads 41; 
go_markdown,markdown_render,3366.7734,data: --size 944; workload: --threads 60; ,2334.7877,data: --size 722; workload: --threads 52; ,2324.9846,data: --size 833; workload: --threads 46; ,749.7173,data: --size 666; workload: --threads 23; ,2036.1346,data: --size 888; workload: --threads 40; ,2277.4484,data: --size 611; workload: --threads 61; ,2208.8601,data: --size 888; workload: --threads 42; ,2737.5318,data: --size 944; workload: --threads 48; ,2902.43,data: --size 1000; workload: --threads 48; ,2608.2313,data: --size 777; workload: --threads 56; ,834.9448,data: --size 833; workload: --threads 22; ,735.0805,data: --size 555; workload: --threads 29; ,2559.2898,data: --size 888; workload: --threads 48; ,588.0451,data: --size 833; workload: --threads 10; ,533.1212,data: --size 944; workload: --threads 7; ,796.276,data: --size 722; workload: --threads 23; 
